id,name,full_name,owner,description,language,topics,stargazers_count,forks_count,watchers_count,open_issues_count,created_at,updated_at,pushed_at,license,readme,languages_detail,fork,industry_code,industry_name,confidence,reasoning,owner_login
0,repo_0,dev_peru_000/repo_0,{'login': 'dev_peru_000'},A TypeScript project for industry O.,TypeScript,"['typescript', 'peru']",15,5,15,15,2016-05-12T00:00:00Z,2023-04-29T00:00:00Z,2033-11-30T00:00:00Z,{'name': 'MIT'},"# Repo 0
A demo project.",{'TypeScript': 16682},False,F,Construction,medium,Synthetic classification.,dev_peru_000
1,repo_1,dev_peru_000/repo_1,{'login': 'dev_peru_000'},A Dart project for industry N.,Dart,"['dart', 'peru']",6,0,6,2,2017-07-09T00:00:00Z,2032-06-08T00:00:00Z,2033-03-28T00:00:00Z,,"# Repo 1
A demo project.",{'Dart': 8698},False,U,Extraterritorial organizations,high,Synthetic classification.,dev_peru_000
2,repo_2,dev_peru_000/repo_2,{'login': 'dev_peru_000'},A Kotlin project for industry J.,Kotlin,"['kotlin', 'peru']",6,2,6,16,2022-11-29T00:00:00Z,2026-01-24T00:00:00Z,2027-08-29T00:00:00Z,{'name': 'MIT'},"# Repo 2
A demo project.",{'Kotlin': 31947},False,H,Transportation and storage,medium,Synthetic classification.,dev_peru_000
3,repo_3,dev_peru_000/repo_3,{'login': 'dev_peru_000'},A Dart project for industry G.,Dart,"['dart', 'peru']",0,0,0,19,2020-09-12T00:00:00Z,2031-05-15T00:00:00Z,2032-11-10T00:00:00Z,,"# Repo 3
A demo project.",{'Dart': 5575},False,I,Accommodation and food services,medium,Synthetic classification.,dev_peru_000
4,repo_4,dev_peru_000/repo_4,{'login': 'dev_peru_000'},A PHP project for industry Q.,PHP,"['php', 'peru']",3,1,3,8,2024-03-14T00:00:00Z,2023-01-11T00:00:00Z,2026-03-04T00:00:00Z,{'name': 'MIT'},"# Repo 4
A demo project.",{'PHP': 39465},False,S,Other service activities,low,Synthetic classification.,dev_peru_000
5,repo_5,dev_peru_000/repo_5,{'login': 'dev_peru_000'},A Kotlin project for industry O.,Kotlin,"['kotlin', 'peru']",15,5,15,17,2020-06-06T00:00:00Z,2026-11-14T00:00:00Z,2026-09-23T00:00:00Z,{'name': 'MIT'},"# Repo 5
A demo project.",{'Kotlin': 36614},False,M,"Professional, scientific activities",medium,Synthetic classification.,dev_peru_000
6,repo_6,dev_peru_000/repo_6,{'login': 'dev_peru_000'},A PHP project for industry H.,PHP,"['php', 'peru']",11,3,11,18,2019-04-18T00:00:00Z,2025-08-14T00:00:00Z,2032-08-07T00:00:00Z,{'name': 'MIT'},"# Repo 6
A demo project.",{'PHP': 3860},False,K,Financial and insurance activities,low,Synthetic classification.,dev_peru_000
7,repo_7,dev_peru_000/repo_7,{'login': 'dev_peru_000'},A Kotlin project for industry M.,Kotlin,"['kotlin', 'peru']",4,1,4,12,2022-06-11T00:00:00Z,2031-11-20T00:00:00Z,2032-03-15T00:00:00Z,{'name': 'MIT'},"# Repo 7
A demo project.",{'Kotlin': 10968},False,P,Education,high,Synthetic classification.,dev_peru_000
8,repo_8,dev_peru_000/repo_8,{'login': 'dev_peru_000'},A TypeScript project for industry S.,TypeScript,"['typescript', 'peru']",26,5,26,10,2024-10-02T00:00:00Z,2024-02-16T00:00:00Z,2032-10-20T00:00:00Z,{'name': 'MIT'},"# Repo 8
A demo project.",{'TypeScript': 7534},False,Q,Human health and social work,medium,Synthetic classification.,dev_peru_000
9,repo_9,dev_peru_001/repo_9,{'login': 'dev_peru_001'},A C# project for industry U.,C#,"['c#', 'peru']",25,2,25,4,2015-11-03T00:00:00Z,2028-04-07T00:00:00Z,2031-10-07T00:00:00Z,{'name': 'MIT'},"# Repo 9
A demo project.",{'C#': 23187},False,T,Activities of households,low,Synthetic classification.,dev_peru_001
10,repo_10,dev_peru_002/repo_10,{'login': 'dev_peru_002'},A Ruby project for industry K.,Ruby,"['ruby', 'peru']",28,2,28,17,2019-04-06T00:00:00Z,2033-09-13T00:00:00Z,2026-07-21T00:00:00Z,{'name': 'MIT'},"# Repo 10
A demo project.",{'Ruby': 32978},False,R,"Arts, entertainment and recreation",high,Synthetic classification.,dev_peru_002
11,repo_11,dev_peru_002/repo_11,{'login': 'dev_peru_002'},A Go project for industry U.,Go,"['go', 'peru']",10,0,10,9,2017-07-20T00:00:00Z,2031-05-17T00:00:00Z,2024-01-06T00:00:00Z,,"# Repo 11
A demo project.",{'Go': 7451},False,U,Extraterritorial organizations,low,Synthetic classification.,dev_peru_002
12,repo_12,dev_peru_002/repo_12,{'login': 'dev_peru_002'},A Swift project for industry F.,Swift,"['swift', 'peru']",13,1,13,9,2025-02-17T00:00:00Z,2023-04-29T00:00:00Z,2023-07-08T00:00:00Z,,"# Repo 12
A demo project.",{'Swift': 4677},False,J,Information and communication,medium,Synthetic classification.,dev_peru_002
13,repo_13,dev_peru_002/repo_13,{'login': 'dev_peru_002'},A PHP project for industry H.,PHP,"['php', 'peru']",2,0,2,16,2019-08-15T00:00:00Z,2029-05-07T00:00:00Z,2030-08-24T00:00:00Z,{'name': 'MIT'},"# Repo 13
A demo project.",{'PHP': 12140},False,F,Construction,high,Synthetic classification.,dev_peru_002
14,repo_14,dev_peru_002/repo_14,{'login': 'dev_peru_002'},A Go project for industry T.,Go,"['go', 'peru']",3,1,3,7,2020-07-31T00:00:00Z,2033-03-27T00:00:00Z,2029-07-16T00:00:00Z,,"# Repo 14
A demo project.",{'Go': 31221},False,U,Extraterritorial organizations,medium,Synthetic classification.,dev_peru_002
15,repo_15,dev_peru_002/repo_15,{'login': 'dev_peru_002'},A Kotlin project for industry A.,Kotlin,"['kotlin', 'peru']",1,0,1,14,2025-02-08T00:00:00Z,2026-03-24T00:00:00Z,2030-08-07T00:00:00Z,{'name': 'MIT'},"# Repo 15
A demo project.",{'Kotlin': 5840},False,O,Public administration and defense,medium,Synthetic classification.,dev_peru_002
16,repo_16,dev_peru_002/repo_16,{'login': 'dev_peru_002'},A Go project for industry N.,Go,"['go', 'peru']",6,0,6,8,2020-02-15T00:00:00Z,2032-06-24T00:00:00Z,2026-05-22T00:00:00Z,,"# Repo 16
A demo project.",{'Go': 26211},False,P,Education,high,Synthetic classification.,dev_peru_002
17,repo_17,dev_peru_003/repo_17,{'login': 'dev_peru_003'},A R project for industry S.,R,"['r', 'peru']",2,0,2,9,2022-11-04T00:00:00Z,2026-04-24T00:00:00Z,2023-03-31T00:00:00Z,{'name': 'MIT'},"# Repo 17
A demo project.",{'R': 44137},False,M,"Professional, scientific activities",medium,Synthetic classification.,dev_peru_003
18,repo_18,dev_peru_003/repo_18,{'login': 'dev_peru_003'},A Python project for industry B.,Python,"['python', 'peru']",4,0,4,19,2023-05-11T00:00:00Z,2028-07-27T00:00:00Z,2032-05-04T00:00:00Z,{'name': 'MIT'},"# Repo 18
A demo project.",{'Python': 19756},False,H,Transportation and storage,low,Synthetic classification.,dev_peru_003
19,repo_19,dev_peru_003/repo_19,{'login': 'dev_peru_003'},A Rust project for industry U.,Rust,"['rust', 'peru']",13,2,13,6,2021-12-18T00:00:00Z,2025-10-23T00:00:00Z,2030-08-08T00:00:00Z,{'name': 'MIT'},"# Repo 19
A demo project.",{'Rust': 44200},False,E,Water supply; sewerage,low,Synthetic classification.,dev_peru_003
20,repo_20,dev_peru_003/repo_20,{'login': 'dev_peru_003'},A JavaScript project for industry U.,JavaScript,"['javascript', 'peru']",2,0,2,1,2018-06-19T00:00:00Z,2031-11-05T00:00:00Z,2027-12-11T00:00:00Z,,"# Repo 20
A demo project.",{'JavaScript': 24911},False,E,Water supply; sewerage,high,Synthetic classification.,dev_peru_003
