repo_id,repo_name,industry_code,industry_name,confidence,reasoning
0,repo_0,F,Construction,medium,Synthetic classification.
1,repo_1,U,Extraterritorial organizations,high,Synthetic classification.
2,repo_2,H,Transportation and storage,medium,Synthetic classification.
3,repo_3,I,Accommodation and food services,medium,Synthetic classification.
4,repo_4,S,Other service activities,low,Synthetic classification.
5,repo_5,M,"Professional, scientific activities",medium,Synthetic classification.
6,repo_6,K,Financial and insurance activities,low,Synthetic classification.
7,repo_7,P,Education,high,Synthetic classification.
8,repo_8,Q,Human health and social work,medium,Synthetic classification.
9,repo_9,T,Activities of households,low,Synthetic classification.
10,repo_10,R,"Arts, entertainment and recreation",high,Synthetic classification.
11,repo_11,U,Extraterritorial organizations,low,Synthetic classification.
12,repo_12,J,Information and communication,medium,Synthetic classification.
13,repo_13,F,Construction,high,Synthetic classification.
14,repo_14,U,Extraterritorial organizations,medium,Synthetic classification.
15,repo_15,O,Public administration and defense,medium,Synthetic classification.
16,repo_16,P,Education,high,Synthetic classification.
17,repo_17,M,"Professional, scientific activities",medium,Synthetic classification.
18,repo_18,H,Transportation and storage,low,Synthetic classification.
19,repo_19,E,Water supply; sewerage,low,Synthetic classification.
20,repo_20,E,Water supply; sewerage,high,Synthetic classification.
21,repo_21,Q,Human health and social work,low,Synthetic classification.
22,repo_22,D,"Electricity, gas, steam supply",medium,Synthetic classification.
23,repo_23,M,"Professional, scientific activities",high,Synthetic classification.
24,repo_24,U,Extraterritorial organizations,medium,Synthetic classification.
25,repo_25,H,Transportation and storage,low,Synthetic classification.
26,repo_26,J,Information and communication,medium,Synthetic classification.
27,repo_27,R,"Arts, entertainment and recreation",medium,Synthetic classification.
28,repo_28,B,Mining and quarrying,low,Synthetic classification.
29,repo_29,R,"Arts, entertainment and recreation",low,Synthetic classification.
30,repo_30,C,Manufacturing,low,Synthetic classification.
31,repo_31,S,Other service activities,high,Synthetic classification.
32,repo_32,E,Water supply; sewerage,low,Synthetic classification.
33,repo_33,A,"Agriculture, forestry and fishing",high,Synthetic classification.
34,repo_34,N,Administrative and support activities,low,Synthetic classification.
35,repo_35,Q,Human health and social work,high,Synthetic classification.
36,repo_36,M,"Professional, scientific activities",medium,Synthetic classification.
37,repo_37,E,Water supply; sewerage,medium,Synthetic classification.
38,repo_38,N,Administrative and support activities,high,Synthetic classification.
39,repo_39,N,Administrative and support activities,medium,Synthetic classification.
40,repo_40,I,Accommodation and food services,medium,Synthetic classification.
41,repo_41,L,Real estate activities,high,Synthetic classification.
42,repo_42,N,Administrative and support activities,low,Synthetic classification.
43,repo_43,P,Education,high,Synthetic classification.
44,repo_44,R,"Arts, entertainment and recreation",low,Synthetic classification.
45,repo_45,A,"Agriculture, forestry and fishing",high,Synthetic classification.
46,repo_46,M,"Professional, scientific activities",high,Synthetic classification.
47,repo_47,K,Financial and insurance activities,high,Synthetic classification.
48,repo_48,B,Mining and quarrying,low,Synthetic classification.
49,repo_49,D,"Electricity, gas, steam supply",medium,Synthetic classification.
50,repo_50,T,Activities of households,high,Synthetic classification.
51,repo_51,P,Education,low,Synthetic classification.
52,repo_52,L,Real estate activities,high,Synthetic classification.
53,repo_53,S,Other service activities,medium,Synthetic classification.
54,repo_54,T,Activities of households,medium,Synthetic classification.
55,repo_55,M,"Professional, scientific activities",low,Synthetic classification.
56,repo_56,U,Extraterritorial organizations,high,Synthetic classification.
57,repo_57,H,Transportation and storage,high,Synthetic classification.
58,repo_58,U,Extraterritorial organizations,medium,Synthetic classification.
59,repo_59,T,Activities of households,medium,Synthetic classification.
60,repo_60,I,Accommodation and food services,low,Synthetic classification.
61,repo_61,C,Manufacturing,low,Synthetic classification.
62,repo_62,B,Mining and quarrying,medium,Synthetic classification.
63,repo_63,O,Public administration and defense,high,Synthetic classification.
64,repo_64,Q,Human health and social work,low,Synthetic classification.
65,repo_65,B,Mining and quarrying,low,Synthetic classification.
66,repo_66,T,Activities of households,high,Synthetic classification.
67,repo_67,E,Water supply; sewerage,low,Synthetic classification.
68,repo_68,Q,Human health and social work,high,Synthetic classification.
69,repo_69,K,Financial and insurance activities,medium,Synthetic classification.
70,repo_70,Q,Human health and social work,high,Synthetic classification.
71,repo_71,T,Activities of households,high,Synthetic classification.
72,repo_72,J,Information and communication,low,Synthetic classification.
73,repo_73,L,Real estate activities,low,Synthetic classification.
74,repo_74,T,Activities of households,high,Synthetic classification.
